Sample Name,Sample Shipped,Sample Sequenced,DRC Received,Available on Cavatica,Genomics Data Harmonized,Phenotype Data Harmonized,Year,Contact PI,Institution Name,Title
68d8781a-d8c1,0,0,0,0,1,1,2017,Hakon Hakonarson,Children's Hospital of Philadelphia,Genetics at the Intersection of Childhood Cancer and Birth Defects
563e4f8e-0291,0,0,1,0,1,0,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
fa017214-1ece,1,0,1,0,1,1,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
ffc78e53-90c2,1,1,0,1,0,0,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
5684a453-5b39,0,1,1,0,0,0,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
441a9b1c-0a43,0,1,1,1,1,1,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
9f429964-f798,1,0,0,1,0,1,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
6ebbd05b-c01d,1,1,1,1,1,1,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
685028c4-23f5,0,1,0,0,1,1,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
bc9ebb68-1b5c,0,0,0,1,0,1,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
2897d864-e84f,0,0,0,0,1,1,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
c8d7c2ee-9a4b,1,1,0,1,0,0,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
34ef0160-4031,1,1,0,1,0,1,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
80448932-4394,0,1,0,0,1,0,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
1c67fb74-7d9c,1,1,1,0,0,0,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
2bec1dd9-4403,1,0,0,0,1,0,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
ea4ccab5-e5c8,1,1,1,0,0,1,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
b3780028-36e8,1,1,1,0,0,1,2017,Daniela Luquetti,University of Washington,Craniofacial Microsomia: Genetic Causes and Pathway Discovery
6121a46d-b943,0,0,0,1,1,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
c130967c-becd,0,0,0,0,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
cdb00516-003b,1,0,0,0,0,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
b68546a2-aaeb,1,0,1,0,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
c63140b9-3e7e,1,0,1,1,0,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
c2589193-9abb,0,0,0,1,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
6759d81d-2283,0,0,1,1,1,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
91d450a6-2a58,1,0,1,0,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
501fa7c0-5f3d,1,1,1,0,1,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
349b0468-3f3d,0,0,0,1,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
0079df53-317f,1,0,0,0,0,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
52ef1305-af26,1,1,1,1,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
bfa692a8-bc30,1,0,1,1,1,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
47c1f9c3-5ef6,0,1,0,0,0,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
9d24a65b-fe8a,1,1,0,1,1,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
18a81b7e-2792,0,1,0,1,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
c3b81804-14e2,1,1,1,1,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
366b978c-cc79,1,0,1,1,0,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
742500cc-0b6a,1,0,1,1,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
345610da-0d6c,1,0,0,0,1,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
60feb1ae-c81b,1,1,0,1,1,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
4d0a90b2-b121,1,0,1,1,0,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
bdacec0c-41fd,0,1,0,1,1,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
a869cfbb-c564,1,0,1,0,1,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
c9103ef9-5002,1,0,0,0,1,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
0647e263-702f,1,1,0,1,1,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
9305aa48-fd95,1,0,1,1,1,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
4e5ea2e0-b76b,1,0,0,1,1,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
d1d259a3-e2a3,0,1,1,0,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
df1ccafa-0bf1,1,1,1,1,1,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
fdecb8a9-07e9,1,0,1,0,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
5cd3a340-cc3e,0,0,0,0,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
6afc8204-1a55,1,0,0,0,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
d8a51e7c-e251,0,0,1,1,1,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
19d5eee0-de7f,0,0,1,1,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
007d60a6-719f,0,0,0,0,0,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
41d25e01-4780,0,1,0,0,1,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
c37db008-f7f2,1,1,1,1,1,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
e980016d-8c1e,0,1,0,0,1,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
4cf78618-0224,1,1,1,1,1,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
5416bf68-c6d0,0,1,1,0,0,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
ee46f6f1-da20,0,1,0,1,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
88019e3a-f861,0,1,1,1,0,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
b798b667-d2a9,0,1,1,1,1,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
c3b28a3f-e906,1,0,0,1,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
2c7e3560-5492,0,0,0,0,0,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
feee65e1-f048,1,0,0,0,1,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
15a31e16-e02c,1,0,1,1,1,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
11489901-decc,1,0,1,1,1,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
8971f8c7-c215,0,0,0,1,1,1,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
f29f003d-f5c6,0,1,1,0,0,0,2017,Joshua Schiffman,University of Utah,"Expanded Ewing sarcoma cohort for tumor genomics and association with DNA repair deficiencies, clinical presentation, and outcome"
bcbf7df8-0357,0,1,1,1,0,0,2017,Dawn Siegel,Medical College of Wisconsin,Genomic analysis of a cohort with infantile hemangiomas associated with multi-organ structural birth defects
64897bcb-9030,0,0,0,1,1,0,2017,Dawn Siegel,Medical College of Wisconsin,Genomic analysis of a cohort with infantile hemangiomas associated with multi-organ structural birth defects
009bd830-a71e,1,0,1,1,0,0,2017,Dawn Siegel,Medical College of Wisconsin,Genomic analysis of a cohort with infantile hemangiomas associated with multi-organ structural birth defects
28ad493d-f76a,0,0,0,0,0,1,2017,Dawn Siegel,Medical College of Wisconsin,Genomic analysis of a cohort with infantile hemangiomas associated with multi-organ structural birth defects
4787c8df-2cdc,0,0,0,0,1,1,2017,Dawn Siegel,Medical College of Wisconsin,Genomic analysis of a cohort with infantile hemangiomas associated with multi-organ structural birth defects
8e3f09cc-3069,0,0,0,0,1,0,2017,Dawn Siegel,Medical College of Wisconsin,Genomic analysis of a cohort with infantile hemangiomas associated with multi-organ structural birth defects
356bc722-e186,0,0,1,1,0,1,2017,Dawn Siegel,Medical College of Wisconsin,Genomic analysis of a cohort with infantile hemangiomas associated with multi-organ structural birth defects
85d362c6-7906,1,0,1,0,0,1,2017,Dawn Siegel,Medical College of Wisconsin,Genomic analysis of a cohort with infantile hemangiomas associated with multi-organ structural birth defects
0af1c754-debc,0,1,0,0,1,1,2017,Dawn Siegel,Medical College of Wisconsin,Genomic analysis of a cohort with infantile hemangiomas associated with multi-organ structural birth defects
31969d4a-745e,0,1,1,1,0,0,2017,Dawn Siegel,Medical College of Wisconsin,Genomic analysis of a cohort with infantile hemangiomas associated with multi-organ structural birth defects
079dc547-dabb,1,1,1,1,0,0,2017,Dawn Siegel,Medical College of Wisconsin,Genomic analysis of a cohort with infantile hemangiomas associated with multi-organ structural birth defects
a4529457-5b8b,1,0,1,0,1,0,2017,Dawn Siegel,Medical College of Wisconsin,Genomic analysis of a cohort with infantile hemangiomas associated with multi-organ structural birth defects
29f78294-d64d,0,0,0,0,1,1,2017,Dawn Siegel,Medical College of Wisconsin,Genomic analysis of a cohort with infantile hemangiomas associated with multi-organ structural birth defects
dbb872cd-6a77,0,1,1,1,1,1,2017,Dawn Siegel,Medical College of Wisconsin,Genomic analysis of a cohort with infantile hemangiomas associated with multi-organ structural birth defects
